indicador,valor,fecha_valor,fecha_consulta
dolar,"933,40",2026-09-01,2026-09-01
uf,"40.875,09",2026-09-01,2026-09-01
dolar,"936,86",2026-09-02,2026-09-02
uf,"40.876,41",2026-09-02,2026-09-02
dolar,"936,32",2026-09-03,2026-09-03
uf,"40.877,73",2026-09-03,2026-09-03
dolar,"933,47",2026-09-04,2026-09-04
uf,"40.879,04",2026-09-04,2026-09-04
dolar,"934,35",2026-09-07,2026-09-07
uf,40.883,2026-09-07,2026-09-07
dolar,"933,82",2026-09-08,2026-09-08
uf,"40.884,32",2026-09-08,2026-09-08
dolar,"926,94",2026-09-09,2026-09-09
uf,"40.885,63",2026-09-09,2026-09-09
dolar,"925,97",2026-09-10,2026-09-10
uf,"40.893,78",2026-09-10,2026-09-10
dolar,"937,17",2026-09-11,2026-09-11
uf,"40.901,94",2026-09-11,2026-09-11
dolar,"940,91",2026-09-14,2026-09-14
uf,"40.926,41",2026-09-14,2026-09-14
dolar,"957,53",2026-09-15,2026-09-15
uf,"40.934,58",2026-09-15,2026-09-15
dolar,"955,37",2026-09-16,2026-09-16
uf,"40.942,74",2026-09-16,2026-09-16
dolar,"954,85",2026-09-17,2026-09-17
uf,"40.950,90",2026-09-17,2026-09-17
utm,71.721,2026-09-01,2026-09-17
